abelo        : пчела
abismo       : пропасть, пучина
abnegacio    : самоотверженность
aboli        : отменять, уничтожать
abolicii     : отменять, уничтожать
abomeno      : отвращение
aboni        : выписывать, подписываться
abrupta      : внезапный, резкий
absoluta     : абслютный, безусловный
absorbi      : поглощать (силы, внимание)
abstini      : воздерживаться
abstrakta    : абстрактный, отвлеченный
absurda      : абсурдный, нелепый
abunda       : обильный, богатый
acida        : кислый, унылый
acxeti       : купить
adekvata     : адекватный, соответствующий
adepto       : последователь, сторонник
adiaux       : прощай(те)
adjektivo    : имя прилагательное
administri   : руководить, управлять
admiri       : восхищаться, любоваться
admoni       : увещевать, делать замечание
adoleska     : юный
adolta       : взрослый
adopti       : усыновить, одобрять
adreso       : адрес
adverbo      : наречие
aero         : воздух
aeroplano    : самолет
afabla       : вежливый, любезный
afekcio      : волнение, аффект
afekti       : манерничать, рисоваться
afero        : дело, занятие, вещь
afikso       : аффикс
afisxo       : афиша, объявление, плакат
aflikti      : огорчать, терзать
aforismo     : афоризм
agendo       : записная книжка
agento       : агент
agi          : действовать, пступать
agiti        : агитировать, возбуждать
agnoski      : признать
agordo       : настроение, настройка
agrabla      : приятный
agrara       : аграрный
agresi       : совершать агрессию
agrikulturo  : сельское хозяйство
agxo         : возраст
ajlo         : чеснок
ajn          : бы ни
akademio     : академия
akceli       : ускорять, усиливать
akcento      : ударение, усиление
akcepti      : принимать
akcesora     : дополнительный, второстепенный
akcidento    : несчастный случай, авария
akiri        : приобретать, добывать
akompani     : провожать, акомпанировать
akordo       : согласие, сгласссованность, аккорд
akra         : острый, резкий
akrostilo    : акростих
akso         : вал, ось
aktiva       : активный, энергичный
akto         : акт, документ
aktoro       : актёр
aktuala      : актуальный
akumuli      : накапливать, собирать
akurata      : аккуратный, пунктуальный
akustiko     : акустика
akusxi       : рожать
akuzi        : обвинять
akvarelo     : акварель
akvo         : вода
al           : к (предлог)
alarmo       : тревога, сигнал тревоги
alauxdo      : жаворонок
aleo         : аллея
alergio      : аллергия
alfabeto     : алфавит
alia         : другой, иной
alianco      : альянс
aliel        : иначе
alies        : принадлежащий другому
alineo       : абзац
aliteracio   : аллитерация
aliu         : другой человек
alkoholo     : алкоголь, спирт
almanako     : альманах
almenaux     : по крайней мере, хотя бы
almozo       : милостыня, подачка
alojo        : сплав
alta         : высокий, возвышенный
alterni      : чередоваться
aludi        : намекать
alumeto      : спичка
amara        : горький
amaso        : масса, толпа
amatoro      : любитель
ambaux       : оба
ambigua      : двусмысленный, неопределённый
ambulanco    : полевой госпиталь
ami          : любить
amiko        : друг
amnestio     : амнистия
amoro        : любовная связь
amplekso     : объём, размах
amuzi        : развлекать, веселить
anakronismo  : анахронизм
analfabeto   : неграмотный
analizi      : анализировать
analogio     : аналогия
ananaso      : ананас
anaso        : утка
anekdoto     : анекдот
angoro       : тревога, беспокойство
angulo       : угол
angxelo      : ангел
anheli       : задыхаться, пыхтеть
animalo      : животное
animo        : душа
ankaux       : и, тоже, также
ankoraux     : ещё
anomalio     : аномалия
